"type","value","validation"
"bip39","fine spatial choice museum toss mountain upset run typical bicycle surge govern",true
"bip39","spell poverty priority atom venue gold blouse oppose crop twice moral impulse",true
"bip39","flower treat broken dog bullet job movie radar ordinary bunker buffalo gasp",true
"bip39","choice quick museum radio drop decrease usual choice witness melt local winter",true
"bip39","alien enemy zebra crowd length alien shallow auction require dirt giraffe occur",true
"bip39","cushion harsh sphere prepare first priority false kidney able real body myth",true
"bip39","barely heart beauty vessel grit wisdom soul ripple season bar mammal only",true
"bip39","cradle fresh noble close broom parade appear demise twenty dog meat outdoor",true
"bip39","large plug increase decrease torch egg crash fox hat obtain vibrant noble",true
"bip39","march anxiety retreat lumber fatigue boy carry east also stock avoid amused",true
"bip39","hungry tragic cost gate core affair evolve hire casino slab crouch among",true
"bip39","soda orchard uncover board real creek quantum control sign genius syrup jazz",true
"bip39","wink clump scrap sphere drive apology organ beauty maximum place invite degree",true
"bip39","wheat laundry mix tenant roast ranch shallow reform special friend art laundry",true
"bip39","swift boil moon account absorb together wrestle glove siren invest vivid device",true
"bip39","enroll venue rebel help middle impose wrestle equip illegal sentence icon maximum",true
"bip39","tent supreme scissors paddle canoe recipe deliver priority slender around since odor",true
"bip39","wing typical excuse address morning ability session script clip dog place clap",true
"bip39","truly distance quick frequent suffer winter false rack group accident jacket shoe",true
"bip39","nuclear width follow struggle accuse lab favorite execute trend comic mom cupboard",true
"bip39","rude person scout matter fiction debate pet such fee enable again scatter",true
"bip39","record laundry below surge suggest regret injury among tiny gallery divert arrow",true
"bip39","athlete wolf essay undo point middle oppose artefact culture sing toy resemble",true
"bip39","cause clinic six sponsor citizen south purse extend defense foster moral sail",true
"bip39","maple gesture broccoli reform quote divorce melody suspect phrase liberty frequent bread",true
"bip39","evolve potato lumber dial expect run topic priority practice maple crawl adapt",true
"bip39","tourist pear work palm praise kidney salmon broom auction pool purse genre",true
"bip39","catalog pair flee illegal inner subject pledge winner slush film tunnel crash",true
"bip39","violin fabric opera unit choose engine length avocado duck chaos peasant bleak",true
"bip39","hat hold hawk differ decline symbol sight mention episode approve ten item",true
"bip39","lion jelly ecology liar scene key brush hurt submit audit guard civil",true
"bip39","between claw entire nothing when danger this sort mimic notice fortune side",true
"bip39","auto subway rude panda utility slight convince mixed south mixture corn upset",true
"bip39","broken anchor amount below rural stamp layer story dash cluster hat page",true
"bip39","airport mountain conduct blood reopen design person welcome awful ring fall wire",true
"bip39","vote flee uncle lake hood ripple poet eye knock fancy pass ceiling",true
"bip39","tunnel visit useless float response once fix inherit type local pupil exist",true
"bip39","cry layer gas slab finish effort extra jacket equal call stem urban",true
"bip39","army baby soup bean dynamic foam manage vintage point chimney light round",true
"bip39","insect practice obtain garbage melody where peanut hospital glide subject grace subway",true
"bip39","arrow dream chat wool cancel busy super cluster pool impulse ancient involve",true
"bip39","citizen urban cancel crucial kiwi enrich tiger they sing toward limb real",true
"bip39","fence secret truly poem true salad hockey credit tobacco tower code able",true
"bip39","pistol business reopen drive custom attack ethics foster era wheel adapt wait",true
"bip39","assume menu sure foil bubble diagram later social bulk whip area update",true
"bip39","hero bread depth tomorrow world nut clean mutual stove tattoo youth dutch",true
"bip39","husband apart manual detail split cute lab drop swear close since cart",true
"bip39","direct skill salt defense snap wash shaft order sound jewel first divorce",true
