"type","value","validation"
"sr25519Verify","{""message"":""f23d0b6ab39052ad3471e950cec2c37f25c05f6d0328a8a0176669817812f9e7"",""signature"":""hMGqK/aPkiawlWJlV0iTz9kQRLZB1zlBNPaxux7ICjC3VdjGVfz5QwSjVffQ1Q3gBa3KURI/i9eY63qLbN32iA=="",""publicKey"":""iKf6vbX30BrUABFIEZBZrlXZcxTCpc24fffi6vGcS3I=""}",true
"sr25519Verify","{""message"":""e3f97277b31061dec3b4faff7d01ad1b5ee58acde37224811d1be8feeb7eb60d"",""signature"":""KKXPDky1t5xZ4/AWHzJBr5TsdoFLL+OdPkx3rZVmfQmlUE6VSrvPhywIjnG0YvClzwbGKf4jM1Shpy+mg0e3hw=="",""publicKey"":""HK5oQatm1kS1r1cT50TPtzJryZDA8+3U1Wb2uPJ0VGI=""}",true
"sr25519Verify","{""message"":""199e055e5771e53b042497a092a4073df576dc18703663f8908998183f2038cd"",""signature"":""/F8JNjrCkYkgAtdwyi2GF+SHYQrEix16nC+1Ay6YdmZKRFA9ql34GkiwpRVVRe6K9LfTiNtvsG4Qdsqc1lxyjQ=="",""publicKey"":""qF3oAl5LZ8AqSqLonHTr1Js/LINouOKVPUVfC8qEfBE=""}",true
"sr25519Verify","{""message"":""fbac5f2bdb7fec3dace293ba16917bb910f3cc695ed75d7725a45e2906d2c3ef"",""signature"":""BNWS352lh2SyJaVq4sY4WGJH1ALKglChEAz8Db4DYkwz8Z+Ug7mmVRcfCecl+4mdkNtLbfsL/r1JrL7w3zB8hQ=="",""publicKey"":""stnthI3tuBFndcclk2MtkKkEwR7rqmQyRYO48s+U6n8=""}",true
"sr25519Verify","{""message"":""f6a7e7b78dbf6fd173eb80e2a11654e0c6a08283de90429e2a049e7f7ef7891f"",""signature"":""Dlwyw9BuVQejVSXxhuG+1+GnDTgOjgs7Ou61LJjzfVj5pOfDKfSoppojo6sQ8h0D2UPhXxhXHhhYGqvTTfjljg=="",""publicKey"":""xCjV2NjhTiLYu0FKTr99zXRL0l1AYavlznud1/Gq6lQ=""}",true
"sr25519Verify","{""message"":""58e0fc3a79fbdcf6ba9388d61c8659722aff846d592772d75dc9b63ec12ede1d"",""signature"":""OqbjKh0Loq6eudC2BuOwTRkXltxL6/eXES2TVRoN/BhMC9oXRz9+/+dvNT0aH48fRz2nl7h3BasRYRE5DF0CgA=="",""publicKey"":""EIWi0rNqVUCRTSBSd3CLVlxkzLWje6Yft3GCMHAr4Bw=""}",true
"sr25519Verify","{""message"":""fa2d1b87765da81f0869addf12c404324a2bf6186d3ba766f4de28b473b1abc0"",""signature"":""fmjiVNJjVzcz0Bjz1iLGbZqZz1Th89SI+L31XBQVlm8eEq/nf7/B6r/EzwG4+C5UXFiO7w3sTAmWQZMk0ARHhQ=="",""publicKey"":""1D6gKm3LTSwD5lrT0sZ5SARaSrP6Bjgusv+fxb3UlwY=""}",true
"sr25519Verify","{""message"":""067795a50359259c49e878a0da2aa0c640b5a31ad4bc4f2071b35a746a171159"",""signature"":""CkSILfC6F6qnVRCw4bStcNVEX9iDDf5uOjkxj3RjSipn+Z4vvYOMsoBphnNZfle3ip6mYtiGW2OAYrC3v3xsgg=="",""publicKey"":""kpjQp3Ve3G4RSyJl7YGOrxz+OMAB97QGDsNg3RjlIQI=""}",true
"sr25519Verify","{""message"":""5fba934e7ea3306c5c2fc0a3993d65c6ede744e6f29f3479499f1aed64984a13"",""signature"":""fP45ZWLK7JwVw8DhlTrTBXwfCpYYJJZ99eyZA2Ovvj8esz9ZvLQCXoRyz5ov9vggk8ySkB/c7LqMWe/j7rnQiw=="",""publicKey"":""FpLuQhygR0Wc2xtRMwKUexBprRlc7zq9ZWMWDq3TKQs=""}",true
"sr25519Verify","{""message"":""e3fece7a3e5969bcddc8e429242a36251dabae92fb4ff6937e1cb45e282d423e"",""signature"":""zsbRIMXrgQ5FfilkDbhDLnexsR3sgLYgOqDoBVp+7AqyMx+5ErT/Lhz1TXbGA5vWSPS86mXh6FSeA8UTkfDmgg=="",""publicKey"":""LAWMzFGk8XtkHDlNmvslcNMRQJd06rOKMM1XrREJPV8=""}",true
"sr25519Verify","{""message"":""80ff1991df72e2e808090f44525e19403ad9b09ebd2ad649df2c34da31597e7b"",""signature"":""EsLFIt4EF5jklbWqBV5DxaTB0pF/jkcvgfV4ASZCdhGt/58Eh/GUlgqO9CIzlB9TLWSz2qehYD/c7Nv9is16gw=="",""publicKey"":""BB+F+KRn12Mip2BZGO5tYqgYcFyy14HtO/fT/L2b+Qs=""}",true
"sr25519Verify","{""message"":""ed36e55bbcdb0884d988f314e960f54e596ecb85440388f3098706df9f62bab2"",""signature"":""mrMjLTKhDTvVxe8yRUr1qZpRyT4tdpKNsG59n623vSoUep38A3wep/dIIwfNwhUfBKl+NfNUoRxNChL4xze0gw=="",""publicKey"":""6B5O7OQVVhrpK5WjsKVKWIrk7LJ+8gLat/6gmj8x82A=""}",true
"sr25519Verify","{""message"":""ded677525e02e78b4a67f29d5b7779414868b4ffb6afe6406a11ec4082323a32"",""signature"":""hLiB2mAfeMg0N8yxSjtPfYgFIT6lAjfHgk6rPDGazQgJyY+pXE982CyTAip9iZO7eyO2Yh7r5qLV8+JlOL8Sgw=="",""publicKey"":""Dnxyt8GeRuIp60SuL5ZMl6mszjIuSJwA7gcoeTkpzG4=""}",true
"sr25519Verify","{""message"":""171bbd2f0356b896a80f84c2c9ce912317f9cafafdd497b6500f6c2f0556973e"",""signature"":""LOGdoaaEuErdbRPKjcaF2S8sxuQtX30OcsEDAllJiRN33dUwX5fvrjkjf593glqmwibUDN4xkqys16Fqjh8Hhw=="",""publicKey"":""FtB+12+atQhEyGxOEOV70aQawii+vUYO6enZ6SkmgRE=""}",true
"sr25519Verify","{""message"":""3487bf2afe5ff25dfc59ec602d465f1d79ad0ba3e40f57983cc2e2c5a1098212"",""signature"":""gposE6QjB7eWMdtaMFOcRsLoxscZOT2t/CvBkH+huFKk1yJjZbNelCIiGHKPmXd7lzOOLx4a7qv2Ywxg9d5SiQ=="",""publicKey"":""9J2uMljMZ9ukSsxylRu3yTEqvfG9MB3PNDjxot1lOVk=""}",true
"sr25519Verify","{""message"":""7578ff25a6c461226d6f641b57567f2db57da943cdac35440dad90ab88c979b5"",""signature"":""gJzZ2ekfzku7yY+n6pUcwWMRf0duRKn0o1lJOmc0XWQGmdKGNXvqtjZQbqBn8o6S4utupPFqtlSqLhZCpUFchQ=="",""publicKey"":""iE5LbJWmDN86DqKHIXSV5kc1/2J1TVigcF2B+nx4Jxk=""}",true
"sr25519Verify","{""message"":""632bba5072ea4ff9976d5237052ce3c664e76a4331cd37a4cdae4c8485e3c898"",""signature"":""NEyBO2m8DzMWNTXt3JRWhNTSc7SWJBLadQcHM1huezuXuJUSnXdKdnvc3ca3ChwMD6qZ8Y/t+3Z2/SI054eVgw=="",""publicKey"":""Lr5rWGXVxK9yiEbKS8yM1nlgrtgj7K+6diw9RZPVODE=""}",true
"sr25519Verify","{""message"":""0a8b1cd53ed3401884f8ea0118a417337bed016706cc75127d2a2df799984f2d"",""signature"":""zN8cVxOWO7sgv7dB70PqKsQMoWclMJdImyQsNEdYoTaoatN1s52ysW65noxsZ3m7FAgGeD1U+Ua7OEAuLbyIjw=="",""publicKey"":""Sojk+z8aN+fgEjJWUCcaerb2hDMX6+jP27hYIgemag4=""}",true
"sr25519Verify","{""message"":""63f18d807280133ff3de6294eb4a8cf23208ef3a3df126551e649f6497a37f82"",""signature"":""ALVFsOwaXtJAQrn8bzQfzm/nWe2Fiua6E5xeUaancUymq13BCfQUvl1m6i31xK+5dyO5YFkoGpvYWeSdbnHJhQ=="",""publicKey"":""9OVYO5awDtjO1w/z9RDJtu/KGWIbcoz+ECwlyobHSQs=""}",true
"sr25519Verify","{""message"":""5e5c8685f0609b79a56ae79b668fb8a127ef46fb74807ef0541c1d4a97b636fd"",""signature"":""yiOuh1rDhkXRW+M5Adl6ZoOEiTDn2eyoHoFpJ4KCAUAJncrzfs5XYLX+x014bh7334fTlFWMQVY3JclSDeR3jA=="",""publicKey"":""gvNBr0RjP2o/s+ilJVjJMTP0XPjR0IpXYc+pDudDvAc=""}",true
"sr25519Verify","{""message"":""bdc87aaaf9313bb67122a8ddc1047a799bde9864344c92cf9d1f1425db4f9e51"",""signature"":""1tnYgbiZMBX14CCdwiUkrsFhXxerFpmuPNEZH9Dr4Sv+wUXihZ0aYy2Op2NEQVfYNDSnEQypfLjVz3oV1AEwgA=="",""publicKey"":""+tmi5ion4WVIVYTPfd1NAYnjjW5sCB42O3LPg0JyNn4=""}",true
"sr25519Verify","{""message"":""ab6d90f2ced10eed4d51887864057d767f1493d36c2219e083076f5e9c7d2d32"",""signature"":""TiqGPlu9JKa7V8Hc33LZacqbnRKfF+6/mvZcV1W9+1ePM38C1ljHbFAnzq/djpoxMLcGIsc1pFwiFJewVeIxgA=="",""publicKey"":""SmOurd0LM7uNP1MHJ/d5YeWTXHOnR3R9hESgc5MhNV0=""}",true
"sr25519Verify","{""message"":""cf852f411502906bcfdf3a852388180154e62962af0cb8fb03f36c965da9f36b"",""signature"":""LGjp/YfyWt+IhMMfTAbz+Y1Stu5IICOE/zUiq8i7OxKnlnp4kyS2BVjPVsR/l9hDqajD5vpCgwR5lnFKUSNxjA=="",""publicKey"":""ZFwC02Vqc39A/ITYZj6hODo2LI7euN9NEbjf35GMVGs=""}",true
"sr25519Verify","{""message"":""5a5b90ad4fc14fb4dd6af4a0a82cac3737e0232875570af7b683f79b37d79c72"",""signature"":""LImPr2N9tT6R5B9gMUVh52kuFFfig3s+K6jBXAjKXwjdblFayRRgoiGw/0G4isf5mjMeB6Cgt7jV7hwV32Ylhw=="",""publicKey"":""ZEzS6BNevZDgUF6wLcSS7hgVJfI8fkpFAFbwSnBnZwU=""}",true
"sr25519Verify","{""message"":""df14883cf95229dcc99214eb20527fb6953dbb127e48be17d2704a216e641e93"",""signature"":""1Ffz7JgwVLx+GStRKZ5x+FOxxSF2wR/qWLe6ivtVW356G2HfzAefyqjxKlLzgTUzhhViqG/nhYtJTYiktzrqhw=="",""publicKey"":""NBkJlKxfuu+y/Yr3sGsqbauQ+Y+ZGeYmszPF2uVlThs=""}",true
"sr25519Verify","{""message"":""a3bc68f1874a7e3b275f9b455be4c4741ad3d1a55e5c2396c9e500d37e1e2160"",""signature"":""zEoHkjXTRaJSZHDA6xieUwXF97f1jdd3FwTCSClrcUCzsZzV/nV32ZNUFdKlbmSgq7tsLev3jA90+en0bOGcgQ=="",""publicKey"":""5unccbFYZjgSrS6/Y41PrSuoIkTSR4BzxOwmsjtpAA4=""}",true
"sr25519Verify","{""message"":""73351203c0d88a8cbdb7e436d53e2d86615cd9dbe5844a4443317d359b312dcb"",""signature"":""pAwXIvv8Cw9WT8n0NvltnARfUWpvOo3UbciFA6KbgEpMTg2Y7udbt81lkb4E/4QTdjms18/dBxi/eePON3shjg=="",""publicKey"":""uue6ZFoSf9GFucY6nC/mH+7HVbUemtk4dJQBwaF5A1c=""}",true
"sr25519Verify","{""message"":""8b588a3fcb0bd53cca3f195753833ed5da374dd4fa299c3a67e0d7df2b5091da"",""signature"":""gizLggTu8toUEc4GnnFalySniB5GvccXgg+k1q5JbCIQq5aKMP1AKph0XqoLeCBGNYQIaEzI7/JBUlAj8fsLjQ=="",""publicKey"":""kJqPo30G48qINAwZypxKmx8kbF7CBtl5TdxtSfvfmmw=""}",true
"sr25519Verify","{""message"":""9194106b1ed8e0240e33258e2558735c706774d39a5cb1316c4e1395932179b4"",""signature"":""TBxMoPqY1QtrOEg3bVJy1XXx5MdZqJ77d+3wrAlF2mvyhlKQhCiDwAChYaGwgsJvXgszoB/AxNcsNEAT9HnThw=="",""publicKey"":""csLY9GdhMRF+Kz1Pxs0zZMgJaFLPKo1T0SiFRervbVc=""}",true
